NAMESPACE   NAME                      READY   STATUS    RESTARTS   AGE
s-23        nginx1                    1/1     Running   0          20h
s-23        nginx2                    1/1     Running   0          20h
s-24        nginx1                    1/1     Running   0          20h
s-24        nginx2                    1/1     Running   0          20h
s-27        nginx1                    1/1     Running   0          20h
s-29        nginx1-548b49765c-8tt9h   1/1     Running   0          20h
s-29        nginx2-5d4bdfc578-9fcfn   1/1     Running   0          20h
s-30        nginx1                    1/1     Running   0          20h
s-30        nginx2                    1/1     Running   0          20h
s-34        nginx1                    1/1     Running   0          20h
s-34        nginx2                    1/1     Running   0          20h
s-35        nginx1                    1/1     Running   0          20h
s-36        nginx1                    1/1     Running   0          26m
s-36        nginx2                    1/1     Running   0          25m
s-37        nginx1                    1/1     Running   0          20h
s-37        nginx2                    1/1     Running   0          20h
s-38        nginx1                    1/1     Running   0          20h
s-38        nginx2                    1/1     Running   0          20h
s-40        nginx1                    1/1     Running   0          20h
s-40        nginx2                    1/1     Running   0          20h
s-44        nginx1                    1/1     Running   0          20h
s-46        nginx1                    1/1     Running   0          20h
s-46        nginx2                    1/1     Running   0          20h
s-49        nginx1                    1/1     Running   0          20h
s-49        nginx2                    1/1     Running   0          20h
